Timestamp,pcr1,pcr2,pcr3,pcr4,pcr5,pcr6,pcr7,pcr8,pcr9,pcr10,pcr11,pcr12,pcr13,pcr14,pcr15,pcr16,pcr17,pcr18,pcr19,pcr20,pcr21,pcr22,pcr23,pcr24,pcr25,pcr26,pcr27,pcr28,pcr29,pcr30,difference1,difference2,difference3,difference4,difference5,difference6,difference7,difference8,difference9,difference10,difference11,difference12,difference13,difference14,difference15,difference16,difference17,difference18,difference19,difference20,difference21,difference22,difference23,difference24,difference25,difference26,difference27,difference28,difference29,difference30,s1,s2,s3,r1,r2,r3,Price,VWAP
2024-08-01 10:06:34,1.4532022121972856,1.1487386343506152,1.1043171081687988,1.0137586150621403,1.0190104900963193,0.9906230224932405,1.00910000562676,0.9795056411480678,1.0180052442253855,0.9524319330401534,0.963735960751925,0.9332854812474857,0.9460823578763783,0.9275314640745204,0.9311781905059552,0.9253531781880254,0.9210156998091774,0.9140415383086554,0.9176284642490267,0.917000005443747,0.9198738314316862,0.9188952835299286,0.9233889753758394,0.9211581495034006,0.9160171163747155,0.9169645666609357,0.9089402004383305,0.909320958426142,0.9115295943471754,0.9102121068005867,360153.0,204872.0,179130.0,28074.0,41868.0,-22494.0,23127.0,-55972.0,51150.0,-148490.0,-117322.0,-226694.0,-185984.0,-256630.0,-245313.0,-269375.0,-286636.0,-313995.0,-301179.0,-304937.0,-294953.0,-299282.0,-283164.0,-291974.0,-311038.0,-307167.0,-336875.0,-335333.0,-326986.0,-331904.0,25000,24500,25050,25100,25500,25050,25040.9,25040.9
2024-08-01 10:07:05,1.424264952353589,1.1159749332166624,1.079556768245269,0.9988106961593819,1.0049611794960194,0.9785600896291061,0.9971877380941903,0.9691572730045864,1.0068436749896252,0.9491753648869492,0.960343426476937,0.9306882421706053,0.9432595941358073,0.9238207792860914,0.927413332220448,0.9219846070984259,0.9177555365464687,0.91094632450253,0.9138728634723745,0.9132752718981997,0.9164746173063023,0.9155247155955514,0.9198920087480013,0.9177146086925257,0.9126817065927068,0.9136054081506,0.9057498074153111,0.9061213230525025,0.908368424928179,0.9071079107119352,354397.0,168058.0,142316.0,-2512.0,11282.0,-52970.0,-7349.0,-86448.0,19938.0,-162341.0,-131173.0,-240545.0,-199835.0,-275691.0,-264374.0,-287523.0,-304784.0,-332141.0,-321733.0,-325491.0,-314082.0,-318411.0,-302447.0,-311257.0,-330321.0,-326450.0,-356158.0,-354616.0,-345942.0,-350740.0,25000,24500,25050,25100,25050,25500,25042.55,25040.73705893616
2024-08-01 10:07:36,1.3952089558540006,1.1039675658164285,1.0756669389957139,0.9963880818895274,1.0027798653528603,0.9767623102539744,0.9982119846400822,0.970323652122591,1.0077112812304503,0.9503364955305055,0.9616563799550065,0.9335426693004395,0.9460399196347652,0.9281027817127111,0.9334415340209931,0.9284779396698857,0.9242299602560132,0.9174049390300909,0.9203104276608018,0.9194962529820455,0.9226719367002482,0.9217108640224907,0.9260548411025643,0.9236407244552916,0.9186258648130234,0.9195350685381559,0.9117079811000935,0.912085491876072,0.9143275161685408,0.9130709782559363,337001.0,152761.0,136888.0,-7702.0,6377.0,-57875.0,-4708.0,-83769.0,22619.0,-159619.0,-127592.0,-231603.0,-190822.0,-261232.0,-243349.0,-264592.0,-281850.0,-309207.0,-298799.0,-303268.0,-291859.0,-296188.0,-280212.0,-289907.0,-308971.0,-305168.0,-334876.0,-333313.0,-324639.0,-329437.0,25000,24500,25050,25100,25050,25500,25044.9,25040.73705893616
2024-08-01 10:08:07,1.3952089558540006,1.1039675658164285,1.0756669389957139,0.9963880818895274,1.0027798653528603,0.9767623102539744,0.9982119846400822,0.970323652122591,1.0077112812304503,0.9503364955305055,0.9616563799550065,0.9335426693004395,0.9460399196347652,0.9281027817127111,0.9334415340209931,0.9284779396698857,0.9242299602560132,0.9174049390300909,0.9203104276608018,0.9194962529820455,0.9226719367002482,0.9217108640224907,0.9260548411025643,0.9236407244552916,0.9186258648130234,0.9195350685381559,0.9117079811000935,0.912085491876072,0.9143275161685408,0.9130709782559363,337001.0,152761.0,136888.0,-7702.0,6377.0,-57875.0,-4708.0,-83769.0,22619.0,-159619.0,-127592.0,-231603.0,-190822.0,-261232.0,-243349.0,-264592.0,-281850.0,-309207.0,-298799.0,-303268.0,-291859.0,-296188.0,-280212.0,-289907.0,-308971.0,-305168.0,-334876.0,-333313.0,-324639.0,-329437.0,25000,24500,25050,25100,25050,25500,25039.0,25041.383044541984
2024-08-01 10:08:38,1.3952089558540006,1.1039675658164285,1.0756669389957139,0.9963880818895274,1.0027798653528603,0.9767623102539744,0.9982119846400822,0.970323652122591,1.0077112812304503,0.9503364955305055,0.9616563799550065,0.9335426693004395,0.9460399196347652,0.9281027817127111,0.9334415340209931,0.9284779396698857,0.9242299602560132,0.9174049390300909,0.9203104276608018,0.9194962529820455,0.9226719367002482,0.9217108640224907,0.9260548411025643,0.9236407244552916,0.9186258648130234,0.9195350685381559,0.9117079811000935,0.912085491876072,0.9143275161685408,0.9130709782559363,337001.0,152761.0,136888.0,-7702.0,6377.0,-57875.0,-4708.0,-83769.0,22619.0,-159619.0,-127592.0,-231603.0,-190822.0,-261232.0,-243349.0,-264592.0,-281850.0,-309207.0,-298799.0,-303268.0,-291859.0,-296188.0,-280212.0,-289907.0,-308971.0,-305168.0,-334876.0,-333313.0,-324639.0,-329437.0,25000,24500,25050,25100,25050,25500,25040.15,25042.73383922741
2024-08-01 10:09:09,1.3298427031114102,1.0624811194683241,1.0421448906124822,0.9703541399458459,0.9750971132260305,0.9523157225301337,0.9751551216927185,0.9484591576742161,0.9859556872602748,0.9330759484307555,0.943349436096285,0.9176126444760481,0.9315212790205464,0.9140437611256259,0.9205253239327666,0.9139624751449085,0.9093836486700239,0.9027163404130748,0.9050189379378918,0.9041842945892791,0.9072642857361084,0.90634859872173,0.9100449623023215,0.9077319819899642,0.9029924876439513,0.9037799137155045,0.8962696514185512,0.8966266374770964,0.8988149406151433,0.897604341678977,301876.0,97624.0,80593.0,-66568.0,-60146.0,-124691.0,-68450.0,-152240.0,-43071.0,-224376.0,-196824.0,-299445.0,-252366.0,-325215.0,-302459.0,-331142.0,-350603.0,-378843.0,-370637.0,-375567.0,-364244.0,-368680.0,-354700.0,-364481.0,-383208.0,-379686.0,-409349.0,-407786.0,-398948.0,-403764.0,25000,24500,25050,25100,25050,25500,25038.35,25041.75611766556
2024-08-01 10:09:39,1.3298427031114102,1.0624811194683241,1.0421448906124822,0.9703541399458459,0.9750971132260305,0.9523157225301337,0.9751551216927185,0.9484591576742161,0.9859556872602748,0.9330759484307555,0.943349436096285,0.9176126444760481,0.9315212790205464,0.9140437611256259,0.9205253239327666,0.9139624751449085,0.9093836486700239,0.9027163404130748,0.9050189379378918,0.9041842945892791,0.9072642857361084,0.90634859872173,0.9100449623023215,0.9077319819899642,0.9029924876439513,0.9037799137155045,0.8962696514185512,0.8966266374770964,0.8988149406151433,0.897604341678977,301876.0,97624.0,80593.0,-66568.0,-60146.0,-124691.0,-68450.0,-152240.0,-43071.0,-224376.0,-196824.0,-299445.0,-252366.0,-325215.0,-302459.0,-331142.0,-350603.0,-378843.0,-370637.0,-375567.0,-364244.0,-368680.0,-354700.0,-364481.0,-383208.0,-379686.0,-409349.0,-407786.0,-398948.0,-403764.0,25000,24500,25050,25100,25050,25500,25040.2,25041.616698835773
2024-08-01 10:10:10,1.3298427031114102,1.0624811194683241,1.0421448906124822,0.9703541399458459,0.9750971132260305,0.9523157225301337,0.9751551216927185,0.9484591576742161,0.9859556872602748,0.9330759484307555,0.943349436096285,0.9176126444760481,0.9315212790205464,0.9140437611256259,0.9205253239327666,0.9139624751449085,0.9093836486700239,0.9027163404130748,0.9050189379378918,0.9041842945892791,0.9072642857361084,0.90634859872173,0.9100449623023215,0.9077319819899642,0.9029924876439513,0.9037799137155045,0.8962696514185512,0.8966266374770964,0.8988149406151433,0.897604341678977,301876.0,97624.0,80593.0,-66568.0,-60146.0,-124691.0,-68450.0,-152240.0,-43071.0,-224376.0,-196824.0,-299445.0,-252366.0,-325215.0,-302459.0,-331142.0,-350603.0,-378843.0,-370637.0,-375567.0,-364244.0,-368680.0,-354700.0,-364481.0,-383208.0,-379686.0,-409349.0,-407786.0,-398948.0,-403764.0,25000,24500,25050,25100,25050,25500,25038.05,25042.92046339585
2024-08-01 10:10:48,1.3298427031114102,1.0687205713645616,1.0471399702179847,0.9743122400302641,0.9787938988404472,0.9556494398856094,0.9783956124793789,0.9461570078092889,0.9830073864662241,0.9304898433463263,0.9408328316229221,0.9152567598775397,0.9291711172594892,0.911786835112838,0.9179089562878765,0.910519761485511,0.9064152077316896,0.8997861967604328,0.9020881723892096,0.901371965063747,0.9044489306207086,0.9035422445470174,0.9072326014185459,0.904861602648699,0.9001365126372636,0.9009186149413407,0.8934298852363826,0.8937847854694879,0.8959654041651977,0.8947585499874697,301876.0,106746.0,89715.0,-57446.0,-51024.0,-115569.0,-59325.0,-159427.0,-52233.0,-233538.0,-205986.0,-308607.0,-261528.0,-334378.0,-312990.0,-345399.0,-363141.0,-391381.0,-383175.0,-387700.0,-376377.0,-380813.0,-366833.0,-376890.0,-395613.0,-392091.0,-421754.0,-420191.0,-411353.0,-416169.0,25000,24500,25050,25100,25050,25500,25035.8,25041.567128334977
2024-08-01 10:11:19,1.3191719796643506,1.0765278671377347,1.0535992942147292,0.980164575641564,0.9844232493933999,0.9615191840918178,0.985022705919478,0.9533555514550193,0.987668802290148,0.93911940335634,0.9464156565919102,0.9210370810489643,0.9344863040433372,0.9182427998030867,0.9240741548122692,0.9167302560652053,0.9126599022843672,0.9065554678893994,0.9082909580627462,0.9077721908835503,0.9111696118096474,0.9102861327097894,0.9134807180851063,0.9111365081005274,0.9061219694308892,0.9067026859282188,0.8992553948257312,0.8996101330581995,0.9017587973463498,0.900554162063165,304424.0,122037.0,104315.0,-45392.0,-38332.0,-102495.0,-41909.0,-140547.0,-38613.0,-208036.0,-189671.0,-292376.0,-245890.0,-315049.0,-294309.0,-326718.0,-344460.0,-370701.0,-364868.0,-368456.0,-355621.0,-359962.0,-347694.0,-357751.0,-377943.0,-375200.0,-405181.0,-403602.0,-394764.0,-399641.0,25000,24500,25050,25100,25050,25500,25038.65,25041.078829291648
